47 ,"Шримад Бхагаватм 9.1"                        ,"ШБ 9.1"  ,1,5,220 ,10,"шримад бхагаватм 9.1 шб 9.1"
48 ,"Шримад Бхагаватм 9.2"                        ,"ШБ 9.2"  ,1,5,220 ,10,"шримад бхагаватм 9.2 шб 9.2"
49 ,"Шримад Бхагаватм 10.1"                       ,"ШБ 10.1" ,1,5,300 ,10,"шримад бхагаватм a шб 10.1"
50 ,"Шримад Бхагаватм 10.2"                       ,"ШБ 10.2" ,1,5,300 ,10,"шримад бхагаватм b шб 10.2"
51 ,"Шримад Бхагаватм 10.3"                       ,"ШБ 10.3" ,1,5,300 ,10,"шримад бхагаватм c шб 10.3"
52 ,"Шримад Бхагаватм 11.1"                       ,"ШБ 11.1" ,1,5,300 ,10,"шримад бхагаватм e шб 11.1"
53 ,"Чайтанья Чаритамрита Адилила I"              ,"ЧЧ Ади1" ,1,5,300 ,10,"чайтанья чаритамрита 1 чч ади1"
54 ,"Чайтанья Чаритамрита Адилила II"             ,"ЧЧ Ади2" ,1,5,300 ,10,"чайтанья чаритамрита 2 чч ади2"
55 ,"Чайтанья Чаритамрита Мадхьялила I"           ,"ЧЧ Мад1" ,1,5,300 ,10,"чайтанья чаритамрита 3 чч мад1"
56 ,"Чайтанья Чаритамрита Мадхьялила II"          ,"ЧЧ Мад2" ,1,5,300 ,10,"чайтанья чаритамрита 4 чч мад2"
57 ,"Чайтанья Чаритамрита Мадхьялила III"         ,"ЧЧ Мад3" ,1,5,300 ,10,"чайтанья чаритамрита 5 чч мад3"
58 ,"Чайтанья Чаритамрита Мадхьялила IV"          ,"ЧЧ Мад4" ,1,5,300 ,10,"чайтанья чаритамрита 6 чч мад4"
59 ,"Чайтанья Чаритамрита Мадхьялила V"           ,"ЧЧ Мад5" ,1,5,300 ,10,"чайтанья чаритамрита 7 чч мад5"
60 ,"Чайтанья Чаритамрита Антьялила I"            ,"ЧЧ Ант1" ,1,5,300 ,10,"чайтанья чаритамрита 8 чч ант1"
61 ,"Неизвестные сокровища Индии"                 ,"НСИ"     ,0,3,170 ,10,"неизвестные сокровища индии нси"
62 ,"Любимые блюда индийской вегетарианской кухни",""        ,9,0,45  ,10,"любимые блюда индийской вегетарианской кухни"
63 ,"Ведическое кулинарное искусство"             ,"ВКИ"     ,0,5,250 ,10,"ведическое кулинарное искусство вки"
64 ,"Царский пир всем по карману"                 ,"ЦП"      ,0,0,35  ,10,"царский пир всем по карману цп"
65 ,"Песенник ачарьев вайшнавов"                  ,""        ,0,0,20  ,10,"песенник ачарьев вайшнавов"
66 ,"Бесценный дар"                               ,"БД"      ,0,0,15  ,10,"бесценный дар бд"
67 ,"Очерки ведической литературы"                ,"ОВЛ"     ,3,2,30  ,10,"очерки ведической литературы овл"
68 ,"Прабхупада"                                  ,"Пр"      ,3,5,100 ,10,"прабхупада пр"
69 ,"Прабхупада лиламрита т. I"                   ,"ПЛ I"    ,3,0,320 ,10,"прабхупада лиламрита т. 1 пл 1"
70 ,"Океан нектара святого Имени"                 ,""        ,2,0,220 ,10,"океан нектара святого имени"
71 ,"Путь великих прощаний"                       ,"ПВП"     ,2,0,80  ,10,"путь великих прощаний пвп"
72 ,"Гаятри мантры"                               ,""        ,2,0,150 ,10,"гаятри мантры"
73 ,"Преобразование джапы"                        ,""        ,2,0,70  ,10,"преобразование джапы"
74 ,"Искусство преображения сердца"               ,""        ,2,0,100 ,10,"искусство преображения сердца"
75 ,"Эликсир преданности"                         ,""        ,2,0,160 ,10,"эликсир преданности"
76 ,"Сокровенные секреты повторения …"            ,""        ,2,0,160 ,10,"сокровенные секреты повторения …"
77 ,"Зов из глубины сердца"                       ,""        ,2,0,60  ,10,"зов из глубины сердца"
78 ,"Из моего сердца"                             ,""        ,2,0,260 ,10,"из моего сердца"
79 ,"Путешествие домой"                           ,""        ,4,0,320 ,10,"путешествие домой"
80 ,"Великие вайшнавы I"                          ,""        ,4,0,150 ,10,"великие вайшнавы  т. 1"
81 ,"Великие вайшнавы II"                         ,""        ,4,0,150 ,10,"великие вайшнавы  т. 2"
82 ,"Смирение"                                    ,""        ,4,0,150 ,10,"смирение"
83 ,"Кришна лила"                                 ,""        ,4,0,210 ,10,"кришна лила"
84 ,"Возрождение любви"                           ,""        ,4,0,150 ,10,"возрождение любви"
85 ,"Забота о преданных"                          ,""        ,5,0,80  ,10,"забота о преданных"
86 ,"Чайтанья Чаритамрита (лекции)"               ,""        ,7,0,90  ,10,"чайтанья чаритамрита (лекции)"
87 ,"Вершина бхакти"                              ,""        ,6,0,100 ,10,"вершина бхакти"
88 ,"Парипрашна"                                  ,""        ,6,0,120 ,10,"парипрашна"
89 ,"Когда распускается лотос удачи"              ,""        ,6,0,300 ,10,"когда распускается лотос удачи"
90 ,"Поток нектара"                               ,""        ,6,0,120 ,10,"поток нектара"
91 ,"Берег разлуки"                               ,""        ,6,0,120 ,10,"берег разлуки"
92 ,"Как стать мудрецом за 45 мин."               ,""        ,8,0,160 ,10,"как стать мудрецом за 45 мин."
93 ,"Качества эффективного лидера"                ,""        ,8,0,50  ,10,"качества эффективного лидера"
94 ,"Внеземные источники информации"              ,""        ,8,0,110 ,10,"внеземные источники информации"
95 ,"Восемь ступеней йоги"                        ,""        ,8,0,110 ,10,"восемь ступеней йоги"
96 ,"Медитация на медитацию"                      ,""        ,8,0,110 ,10,"медитация на медитацию"
97 ,"Прощай карма"                                ,""        ,8,0,90  ,10,"прощай карма"
98 ,"Чакравидья (планир. Успеха)"                 ,""        ,8,0,100 ,10,"чакравидья (планир. успеха)"
99 ,"Глубинная философия аюрведы"                 ,""        ,8,0,75  ,10,"глубинная философия аюрведы"
100,"Культура, неподвластная времени"             ,""        ,0,0,10  ,10,"культура, неподвластная времени"
101,"Так написано в Библии"                       ,""        ,0,0,10  ,10,"так написано в библии"
102,"Брошюра Прабхупада"                          ,""        ,0,0,10  ,10,"брошюра прабхупада"
103,"Пустые имена"                                ,""        ,0,0,100 ,10,"пустые имена"
104,"Преображения сердца"                         ,""        ,2,0,100 ,10,"преображения сердца"
105,"Совершенство йоги"                           ,"СЙ"      ,1,2,25  ,10,"совершенство йоги сй"
106,"Прабхупада лиламрита т. II"                  ,"ПЛ I"    ,3,0,320 ,10,"прабхупада лиламрита т. 2 пл 2"
107,"Чайтанья Чаритамрита Антьялила II"           ,"ЧЧ Ант2" ,1,5,300 ,10,"чайтанья чаритамрита 9 чч ант2"
109,"Махабхарата т. I"                            ,""        ,0,0,270 ,10,"махабхарата 1"
111,"Махабхарата т. II"                           ,""        ,0,0,230 ,10,"махабхарата 2"
117,"Шримад Бхагаватм 10.4"                       ,"ШБ 10.4" ,1,5,300 ,10,"шримад бхагаватм d шб 10.4"
119,"Шримад Бхагаватм 12"                         ,"ШБ 12"   ,1,5,250 ,10,"шримад бхагаватм g шб 12"
121,"Шримад Бхагаватм 11.2"                       ,"ШБ 11.2" ,1,5,300 ,10,"шримад бхагаватм f шб 11.2"
123,"Шри Намамрита"                               ,"ШН"      ,1,5,280 ,10,"шри намамрита шн"
124,"Рамаяна"                                     ,""        ,0,0,250 ,10,"рамаяна"
